id,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,4-Oct
M5,3,3,3,3,3,3,3,NA,3,3,3,3
M6,3,3,3,3,3,3,3,NA,3,3,3,3
M7,3,3,1,3,3,3,3,NA,3,3,3,3
M8,3,3,3,3,3,3,3,NA,3,3,3,3
M9,3,3,3,3,3,3,3,NA,3,3,3,3
M0,3,3,3,3,3,3,3,NA,3,3,3,3
N1,3,3,3,3,3,3,3,NA,3,3,3,3
N2,3,3,3,3,3,3,3,NA,3,3,3,3
N3,3,3,3,3,3,3,3,NA,3,3,3,3
N4,3,3,3,3,3,3,3,NA,3,3,3,3
N5,3,3,3,3,3,3,3,NA,3,3,3,3
N6,3,3,3,3,3,3,3,NA,3,3,3,3
N7,3,3,1,3,3,3,3,NA,3,3,3,3
N8,3,3,3,3,3,3,3,NA,3,3,3,3
N9,3,3,3,3,3,3,3,NA,3,3,3,3
N0,3,3,3,3,3,3,3,NA,2,3,3,3
O1,3,3,1,2,3,3,3,NA,3,3,3,3
O2,3,3,3,1,2,3,3,NA,3,3,3,3
O3,3,3,3,3,1,1,3,NA,3,3,3,3
O4,3,3,3,3,3,3,3,NA,3,3,3,3
O5,3,3,1,3,3,3,3,NA,3,3,3,3
O6,3,3,1,3,1,3,3,NA,3,3,3,3
O7,3,1,3,3,2,3,3,NA,3,3,3,3
O8,3,3,2,3,3,3,3,NA,3,3,3,3
O9,3,3,3,3,3,3,3,NA,3,3,3,3
O0,3,3,3,3,3,3,3,NA,3,3,3,3
P,3,3,1,3,3,3,3,NA,3,3,3,3
P1,3,3,3,3,3,3,3,NA,3,3,3,3
P2,3,3,3,3,3,3,3,NA,3,3,3,3
P3,3,3,3,3,3,3,3,NA,3,3,3,3
P4,3,3,1,3,3,3,3,NA,3,3,3,3
P5,3,3,3,3,3,3,3,NA,3,3,3,3
P6,3,3,2,3,3,3,3,NA,3,3,3,3
P7,3,3,1,3,3,3,3,NA,3,3,3,3
P8,3,3,3,3,3,3,3,NA,3,3,3,3
P9,3,3,3,3,3,3,3,NA,3,3,3,3
P0,3,3,3,3,3,3,3,NA,3,3,3,3
Q1,3,3,3,3,3,3,3,NA,3,3,3,3
Q2,3,3,3,3,3,3,3,NA,3,3,2,3
Q3,3,3,1,3,3,3,3,NA,3,3,3,3
Q4,3,3,3,3,3,3,3,NA,3,3,3,3
Q5,3,3,3,2,3,3,3,NA,3,3,3,3
Q6,3,3,3,3,3,3,3,NA,3,3,3,3
Q7,3,3,3,3,3,3,3,NA,3,3,3,3
Q8,3,3,3,3,3,3,3,NA,3,1,1,1
Q9,3,3,3,3,3,3,3,NA,3,3,3,3
R1,3,3,3,3,3,3,3,NA,3,3,3,3
R2,3,3,1,3,3,3,3,NA,3,3,3,3
R3,3,3,3,3,3,3,3,NA,3,3,1,1
R4,3,3,3,3,3,3,3,NA,3,3,3,3
R5,3,3,1,3,3,3,3,NA,3,3,3,3
R6,3,3,2,3,3,3,3,NA,3,3,3,3
R7,3,3,3,3,3,3,3,NA,3,3,3,3
R8,3,3,3,3,3,3,3,NA,3,3,3,3
R9,3,3,1,3,3,3,3,NA,3,3,3,3
R0,3,3,3,3,3,3,3,NA,3,3,3,3
S1,3,3,3,3,3,3,3,NA,3,3,3,3
S2,3,3,3,3,3,3,3,NA,2,3,3,3
S3,3,3,1,3,3,3,3,NA,3,3,3,3
S4,3,3,3,3,3,3,3,NA,3,3,3,3
S5,3,3,1,1,3,3,3,NA,3,3,3,3
S6,3,3,3,3,3,3,3,NA,3,3,3,3
S7,3,3,3,3,3,3,3,NA,3,3,3,3
S8,3,3,3,3,3,3,3,NA,3,3,3,3
S9,3,3,1,3,3,2,3,NA,3,3,3,3
S0,3,3,3,3,3,3,3,NA,3,3,3,3
T,3,3,2,3,3,3,3,NA,3,3,3,3
T1,3,3,3,3,3,3,3,NA,3,3,3,3
T2,3,3,3,3,3,3,3,NA,3,3,3,3
T3,3,3,1,3,3,3,3,NA,3,3,3,3
T4,3,3,3,3,3,3,3,NA,3,3,3,3
T5,3,3,3,3,3,3,3,NA,3,3,3,3
T6,3,3,3,3,3,3,3,NA,3,3,3,3
T7,3,3,1,3,3,3,3,NA,3,3,3,3
T8,3,3,3,3,3,3,3,NA,3,3,3,3
T9,3,3,1,3,3,3,3,NA,3,3,3,3
T0,3,3,3,3,3,3,3,NA,3,3,3,3
U1,3,3,3,2,3,3,3,NA,3,3,3,3
U2,3,3,3,3,3,3,3,NA,3,3,3,3
U3,3,3,3,2,3,3,3,NA,3,3,3,3
U4,3,3,3,3,3,3,3,NA,3,3,3,3
U5,3,3,3,3,3,3,3,NA,3,3,3,3
U6,3,3,3,1,3,3,3,NA,3,3,3,3
U7,3,3,3,3,3,3,3,NA,3,3,3,3
U8,3,3,3,3,3,3,3,NA,3,3,3,3
U9,3,3,3,3,3,3,3,NA,3,3,3,3
U10,3,3,3,2,3,3,3,NA,3,3,3,3
1V,3,3,3,1,3,3,3,NA,3,3,3,3
2V,3,3,3,1,3,3,3,NA,3,3,3,3
